Actions Played Description \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Cook with: SOY_SAUCE,SHRIMP,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,",0,2,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,2,1,0,0,0,1,0,1,0,0
"Cook with: SOY_SAUCE,NOODLES,SHRIMP,GINGER,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,NOODLES,GINGER,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Cook with: MUSHROOMS,SHRIMP,NOODLES,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"Cook with: MUSHROOMS,NOODLES,SHRIMP,PORK,GINGER,GREEN_ONION,",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,NOODLES,GREEN_ONION,SOY_SAUCE,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,CHICKEN,GINGER,GREEN_ONION,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,PORK,SOY_SAUCE,",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,GINGER,",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Cook with: MUSHROOMS,NOODLES,CHICKEN,GINGER,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GINGER,MUSHROOMS,NOODLES,SHRIMP,CHICKEN,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,PORK,GINGER,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SHRIMP,NOODLES,GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
