GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms)),FavoredCards(Discarded card),FavoredCards(Favored Cards)
-608220843,StirFry18,0,ACTION_TAKEN,2,1,4,3,0.0316,mcts,0.002,0,0.0143,38.7932,,
-608220843,StirFry18,0,ACTION_TAKEN,3,1,4,3,0.0178,mcts,0.0056,1,0.0131,36.3092,,
-608220843,StirFry18,0,ACTION_TAKEN,4,1,4,3,0.0419,mcts,0.0058,1,0.0275,40.014,,
-608220843,StirFry18,0,ACTION_TAKEN,5,1,4,3,0.0404,mcts,0.0017,1,0.0013,40.014,,
-608220843,StirFry18,0,ACTION_TAKEN,6,2,4,3,0.0091,mcts,9.0E-4,1,0.0048,40.014,,
-608220843,StirFry18,0,ACTION_TAKEN,7,2,4,3,0.009,mcts,0.0027,2,0.0019,37.0991,,
-608220843,StirFry18,0,ACTION_TAKEN,8,2,4,3,0.0311,mcts,0.0022,2,0.0018,36.31,,
-608220843,StirFry18,0,ACTION_TAKEN,9,2,4,3,0.0202,mcts,1.7527,2,0.005,37.6583,,
-608220843,StirFry18,0,ACTION_TAKEN,10,2,4,3,0.0209,mcts,0.0012,2,9.0E-4,37.6583,,
-608220843,StirFry18,0,ACTION_TAKEN,11,3,4,3,0.0081,mcts,7.0E-4,2,0.0042,37.6583,,
-608220843,StirFry18,0,ACTION_TAKEN,12,3,4,3,0.0084,mcts,0.0048,3,0.0038,39.184,,
-608220843,StirFry18,0,ACTION_TAKEN,13,3,4,3,0.0455,mcts,0.0044,3,0.0027,37.1521,,
-608220843,StirFry18,0,ACTION_TAKEN,14,3,4,3,0.0231,mcts,0.0012,3,8.0E-4,37.1521,,
-608220843,StirFry18,0,ACTION_TAKEN,15,4,4,3,0.0075,mcts,7.0E-4,3,0.0038,37.1521,,
-608220843,StirFry18,0,ACTION_TAKEN,16,4,4,3,0.0083,mcts,0.0038,0,0.0047,37.1918,,
-608220843,StirFry18,0,ACTION_TAKEN,17,4,4,3,0.026,mcts,0.0016,0,0.0011,37.1918,,
