Cooked with - \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
GINGER-MUSHROOMS-NOODLES-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
SHRIMP-SOY_SAUCE-MUSHROOMS-NOODLES-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-GREEN_ONION-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PORK-GINGER-SOY_SAUCE-NOODLES-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-GINGER-,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0
GREEN_ONION-MUSHROOMS-SHRIMP-NOODLES-CHICKEN-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-NOODLES-SHRIMP-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-GINGER-GREEN_ONION-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GREEN_ONION-NOODLES-SHRIMP-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SOY_SAUCE-NOODLES-SHRIMP-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-NOODLES-PORK-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-NOODLES-CHICKEN-GINGER-GREEN_ONION-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-NOODLES-PORK-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NOODLES-PORK-GINGER-GREEN_ONION-SOY_SAUCE-MUSHROOMS-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-NOODLES-PORK-GINGER-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-MUSHROOMS-NOODLES-GINGER-,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NOODLES-PORK-GINGER-GREEN_ONION-MUSHROOMS-,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-CHICKEN-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SHRIMP-GINGER-GREEN_ONION-NOODLES-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-SOY_SAUCE-SHRIMP-PORK-NOODLES-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SHRIMP-PORK-MUSHROOMS-NOODLES-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MUSHROOMS-NOODLES-SHRIMP-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MUSHROOMS-NOODLES-GINGER-GREEN_ONION-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NOODLES-PORK-GINGER-GREEN_ONION-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSHROOMS-NOODLES-SHRIMP-CHICKEN-GREEN_ONION-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-SHRIMP-CHICKEN-GREEN_ONION-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PORK-CHICKEN-GINGER-SOY_SAUCE-NOODLES-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MUSHROOMS-NOODLES-CHICKEN-GINGER-GREEN_ONION-,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
MUSHROOMS-SHRIMP-NOODLES-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
GREEN_ONION-SHRIMP-NOODLES-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MUSHROOMS-PORK-NOODLES-GREEN_ONION-SOY_SAUCE-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-GREEN_ONION-SOY_SAUCE-MUSHROOMS-NOODLES-PORK-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MUSHROOMS-SHRIMP-NOODLES-CHICKEN-GREEN_ONION-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MUSHROOMS-NOODLES-PORK-GINGER-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GINGER-GREEN_ONION-MUSHROOMS-SHRIMP-NOODLES-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOY_SAUCE-MUSHROOMS-NOODLES-CHICKEN-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOODLES-CHICKEN-SOY_SAUCE-,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHRIMP-NOODLES-GREEN_ONION-SOY_SAUCE-MUSHROOMS-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NOODLES-SHRIMP-PORK-GINGER-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
